num (ignore),Avg windspeed,windSpeed,Direction,windTurbulence,deploymentTime,,simTime,posEast,posNorth,altitude,longitude,latitude,max altitude,deploymentVelocity,groundspeedVelocity
0,5.185664,0,210.0514996,0,72.22395602,,849.4466144,7470.308333,759.7517376,0,-80.52346907,28.61681113,22787.65679,78.95674124,11.62264014
1,1.672268831,0,108.4374933,0,71.42041107,,848.3233749,4485.145377,-23.11265504,0,-80.55405419,28.6097844,22755.86685,80.2142937,11.62263694
2,2.511122036,0,236.0587823,0,68.91350818,,849.1958193,4990.899918,1842.09166,0,-80.54886508,28.62655674,22823.12438,81.71226181,11.62264404
3,2.369312,0,235.5155668,0,67.61887003,,848.7194687,5218.646102,1166.812121,0,-80.54653477,28.62048291,22828.09204,79.02393472,11.62264173
4,4.397264268,0,239.4182659,0,72.96008366,,850.3156326,6044.540213,1139.913043,0,-80.53807359,28.62023742,22759.21187,79.3880705,11.6226416
5,1.013507248,0,191.8169802,0,73.25116165,,849.4204093,4745.835167,1235.692268,0,-80.55137844,28.62110417,22809.70264,80.15192657,11.62264206
6,0.8528733252,0,235.8302428,0,69.30601326,,847.8679756,8180.937695,-630.7731586,0,-80.51619888,28.60430156,22839.23603,79.15962637,11.62263412
7,9.129676112,0,200.0360694,0,72.13105761,,848.3759664,3749.718617,2366.21529,0,-80.56158004,28.63127447,22842.30455,79.27613747,11.62264667
8,7.174992,0,260.438859,0,69.34589724,,848.3932672,4803.574881,2057.337458,0,-80.55078343,28.62849319,22812.1072,79.47075383,11.62264537
9,1.271226757,0,34.63047295,0,68.19671546,,848.8600799,4930.976382,2168.424481,0,-80.54947762,28.62949175,22815.66053,79.51974348,11.62264539
10,8.60552,0,247.9570791,0,67.48311895,,849.8490759,6488.236745,520.2461934,0,-80.53353144,28.61466248,22822.93538,78.69188846,11.62263916
11,2.188047799,0,184.2810406,0,72.71583866,,849.2312898,2946.816188,1976.563277,0,-80.56980766,28.62777232,22774.70207,78.45515764,11.62264513
12,1.089758681,0,237.2563371,0,71.33812419,,847.5391842,4097.919072,2676.617267,0,-80.55801123,28.63406493,22845.54416,79.32321621,11.62264793
13,5.019932754,0,234.2368592,0,73.54689862,,848.691695,7095.485201,2066.278992,0,-80.52730088,28.6285631,22834.95286,79.16991351,11.6226454
14,1.060226481,0,224.3729282,0,68.20790175,,850.5760968,4374.418562,2017.714291,0,-80.55518064,28.62813837,22781.47676,78.7204495,11.62264521
15,5.945632,0,248.0466647,0,71.4382285,,849.3939993,6403.247386,368.4927294,0,-80.53440297,28.61329815,22804.57688,79.53513061,11.62263826
16,4.671568,0,212.9169242,0,69.79992221,,849.2226812,3532.73273,2053.754955,0,-80.56380426,28.62846506,22794.04145,79.24800775,11.62264536
17,1.101607576,0,195.1335431,0,69.85892124,,849.744874,6486.851876,3234.606678,0,-80.53353018,28.63907331,22825.33907,79.6884875,11.62265007
18,4.485301333,0,200.1493901,0,68.06171806,,851.3286274,1701.397216,1492.935532,0,-80.58256863,28.62342518,22794.44997,80.98470419,11.62264312
19,4.291009959,0,195.8917341,0,68.30269454,,849.7143727,7272.983906,1544.956476,0,-80.52548559,28.62387376,22788.14306,80.28049553,11.62264322
20,1.808790896,0,213.7211216,0,68.81900858,,848.5101695,5129.081178,2170.812025,0,-80.54744784,28.62951245,22838.9215,77.97198144,11.62264556
21,6.549136,0,235.7721832,0,69.45954419,,847.6657419,3741.754149,2416.281349,0,-80.56166148,28.63172475,22806.87689,79.52880986,11.62264678
22,2.145792,0,242.4325935,0,69.90616656,,847.4064358,8393.566594,-1630.497657,0,-80.51402818,28.59530947,22845.19112,79.24330579,11.62263048
23,0.004805395536,0,40.88253652,0,73.07196665,,848.956848,3535.417717,516.7626459,0,-80.56378152,28.61464255,22803.81987,79.64194233,11.62263918
24,4.273470701,0,212.5727219,0,71.02385249,,849.5760538,3609.581705,1135.813268,0,-80.56301979,28.6202096,22802.50535,78.50385616,11.62264159
25,3.68808,0,230.1681443,0,70.78537373,,848.4746469,4315.648321,435.934009,0,-80.55578878,28.61391328,22798.03465,79.35419934,11.62263883
26,5.589087293,0,224.9380082,0,68.95641095,,848.8040141,6003.626103,-132.0559222,0,-80.53849946,28.60879852,22835.34542,78.91315841,11.62263612
27,6.839712,0,199.1127176,0,68.35917116,,848.6208088,2429.619408,2142.810868,0,-80.57510637,28.62926849,22805.5088,79.16052307,11.62264564
28,1.012128515,0,231.3281555,0,70.30836166,,849.7080839,6914.241554,-1292.090273,0,-80.52917824,28.59836155,22828.16475,81.14323056,11.62263163
29,0.004507702484,0,295.3952057,0,72.35965501,,848.4239181,5966.497838,769.951667,0,-80.53887507,28.61691064,22797.06232,78.87958932,11.62263993
30,4.485301333,0,199.0748776,0,70.12287498,,850.7572181,4349.395713,1413.190861,0,-80.55543933,28.62270185,22803.01052,81.0424112,11.62264274
31,2.460489261,0,289.4604681,0,72.93277245,,851.8336946,3160.710919,2492.233989,0,-80.56761471,28.63240935,22737.69252,80.18706884,11.62264692
32,0.6884285727,0,238.9625324,0,68.68896975,,848.6710367,6175.56311,507.1559205,0,-80.53673469,28.61454628,22834.49462,79.05756158,11.62263915
33,2.247087434,0,244.0942676,0,69.61897308,,847.773859,5539.377084,2409.943336,0,-80.54324282,28.63166132,22818.77797,79.09696636,11.62264681
34,1.309617725,0,268.3851537,0,68.35742471,,848.2643144,6286.098537,-1098.203248,0,-80.53561116,28.60010841,22843.80111,79.15526721,11.62263259
35,0.22352,0,235.8582264,0,73.97947009,,848.3715219,5589.630431,489.4882038,0,-80.54273734,28.61439004,22813.53218,80.41184616,11.62263877
36,0.9773283244,0,184.609929,0,68.11276061,,849.1505543,3677.829606,998.4338147,0,-80.56232103,28.61897392,22790.2521,80.01148926,11.62264116
37,6.147543577,0,90.28235893,0,69.24956106,,848.5235861,3383.661574,2055.059848,0,-80.56533162,28.62847719,22793.77989,78.4198883,11.62264541
38,9.154966063,0,61.63419045,0,72.10050394,,851.3298007,2781.535349,1640.959688,0,-80.5715019,28.62475453,22756.5566,79.14962416,11.62264329
39,1.652669501,0,240.2501333,0,72.40711303,,848.1727763,7262.564847,2772.369304,0,-80.52558451,28.6349122,22823.05563,80.80976736,11.62264809
40,4.418326793,0,316.0676112,0,68.91123658,,849.3968081,7442.241132,1911.71564,0,-80.52374909,28.62717114,22825.27293,79.02114708,11.62264468
41,1.875011263,0,229.3387222,0,69.17045056,,850.0919989,4054.59535,1191.526376,0,-80.55846042,28.62070932,22782.26142,84.90208938,11.62264192
42,2.847032355,0,200.8254986,0,72.56728964,,847.9656,7412.090088,-109.33741,0,-80.52407115,28.60899556,22846.43686,79.8466075,11.62263655
43,5.992153035,0,95.22275908,0,73.13785656,,849.8379742,5316.140717,-528.888637,0,-80.54554384,28.60523271,22828.18689,80.45135217,11.62263493
44,5.498592,0,217.5756575,0,68.25157225,,849.7790375,5978.976549,1816.247986,0,-80.53874174,28.62632014,22829.34307,79.39809345,11.62264441
45,9.968992,0,165.0950206,0,73.80949449,,848.9625346,4486.747069,1395.882139,0,-80.5540322,28.62254572,22841.96478,79.08323789,11.62264266
46,6.645994667,0,193.5808441,0,72.53378801,,849.5896837,4694.444466,1712.215347,0,-80.55190298,28.62538984,22803.31789,79.32638383,11.62264402
47,3.755136,0,241.5756237,0,71.74120227,,847.8170748,5348.649357,2818.322006,0,-80.54519512,28.63533476,22844.53609,78.9442046,11.62264823
48,9.141613821,0,190.6654689,0,69.37566358,,849.5352058,11299.17175,-69.32008961,0,-80.48425182,28.60932744,22776.67591,81.67016693,11.62263658
49,5.64669887,0,223.1704745,0,67.85832503,,847.7078207,7005.109514,1300.746029,0,-80.52823156,28.62167899,22844.38308,79.1774791,11.62264227
50,5.309280231,0,164.3898943,0,68.48789182,,849.1398905,1886.209872,2525.095359,0,-80.58067346,28.63270736,22813.31886,78.93565022,11.62264691
51,2.218686606,0,325.3149107,0,71.68722539,,847.5722271,6592.928783,-478.1373259,0,-80.5324647,28.60568328,22842.1568,78.93973327,11.62263504
52,5.115517459,0,232.0717431,0,73.63701508,,849.9738897,3393.955333,86.60394234,0,-80.56523201,28.61077441,22802.50636,85.65061931,11.62263723
53,6.839712,0,209.0833054,0,73.26360271,,849.471583,9147.618441,-864.4693743,0,-80.5062986,28.60219343,22833.58156,79.57943865,11.62263342
54,0.22352,0,215.9560019,0,69.49576852,,849.3583829,4933.23339,-94.15813213,0,-80.54946429,28.60914385,22809.61917,79.60190062,11.62263636
55,4.312473985,0,247.0630191,0,73.96220561,,848.8630391,6625.709973,2297.006509,0,-80.53211277,28.63064057,22811.45417,80.02568004,11.62264638
56,9.209024,0,116.3972613,0,72.34648083,,849.9570003,4084.380322,-667.6924433,0,-80.55816193,28.60398888,22785.30714,79.68251384,11.62263424
57,8.314944,0,242.8368657,0,67.81445004,,849.8680373,4563.359096,827.6868167,0,-80.55324956,28.61743555,22824.655,80.71449461,11.62264045
58,5.597507492,0,249.6768998,0,71.90055778,,848.4363844,6097.049836,-1111.99436,0,-80.53754767,28.59998529,22815.32421,80.79069591,11.62263257
59,4.671568,0,75.88313594,0,71.78204596,,849.2478594,4398.935747,318.1814131,0,-80.554936,28.61285402,22828.96119,78.91271072,11.62263839
60,5.185664,0,208.6851973,0,72.22010315,,849.9217982,7397.342311,-663.1967584,0,-80.52422582,28.60401466,22827.27422,78.99877591,11.62263441
61,1.716263476,0,222.8610963,0,70.31975337,,848.7573048,4486.320264,-1367.66884,0,-80.55404744,28.59769251,22782.64911,78.99196608,11.62263156
62,7.867904,0,245.9356968,0,70.01820003,,848.9134809,1628.279291,534.3953765,0,-80.58331912,28.61480491,22716.86129,79.53176609,11.62263925
63,1.899770978,0,233.2606174,0,70.66327463,,849.070798,5786.94418,4656.202428,0,-80.5406948,28.65186133,22791.03825,80.56030377,11.62265556
64,0.759968,0,233.0332163,0,71.7857684,,850.9370174,3515.663513,1711.441866,0,-80.56398021,28.62538661,22759.11036,79.73833142,11.62264391
65,2.19102559,0,230.2830211,0,67.03405371,,849.4765849,3962.055588,1866.899648,0,-80.55940615,28.62678339,22835.54129,79.08373796,11.62264463
66,5.498592,0,246.6562098,0,67.32432396,,848.564624,4788.626243,-0.03045494806,0,-80.55094524,28.6099909,22727.56818,79.14322284,11.62263685
67,5.128358595,0,245.3686871,0,73.16708927,,849.2540683,7330.512793,275.4926492,0,-80.52490434,28.61245688,22835.60061,80.41146008,11.62263805
68,5.498592,0,82.84947697,0,69.45012733,,848.1216736,4838.235845,703.0184289,0,-80.55043405,28.61631338,22835.63312,79.06119532,11.62263969
69,3.755136,0,175.6853801,0,67.68703771,,848.9793152,5277.092046,-1029.222246,0,-80.54594615,28.60073326,22814.68772,79.42306778,11.62263287
70,0.5845501974,0,220.3604108,0,73.23647282,,851.9282819,6287.853818,755.6109804,0,-80.53558296,28.61678015,22787.59736,79.03230521,11.6226401
71,2.031515165,0,221.9415735,0,70.21881981,,848.6989791,4101.079717,1200.221297,0,-80.55798416,28.62078737,22828.89864,80.0839294,11.62264193
72,1.027233518,0,52.67139522,0,67.05320214,,848.4969967,5643.473046,1573.536152,0,-80.54218038,28.62413889,22832.44474,79.36552613,11.62264302
73,1.386539836,0,105.1427081,0,71.19918058,,849.0913948,5626.976399,356.1595545,0,-80.54235541,28.61319083,22813.57593,79.29958801,11.62263821
74,1.303542062,0,93.5950145,0,73.48754812,,847.9780425,5098.369505,614.241517,0,-80.54776948,28.615514,22845.05746,79.7148596,11.62263952
75,4.409519266,0,138.7818235,0,73.02334622,,848.5751271,5140.582325,1729.870802,0,-80.54733199,28.62554693,22850.95419,78.37052048,11.62264363
76,0.5769372087,0,221.6991614,0,69.64533018,,848.8177703,5907.668774,1580.886384,0,-80.53947356,28.62420381,22812.56088,79.44368158,11.62264334
77,1.619129706,0,291.5460638,0,71.92487681,,849.3844411,4098.286264,295.3999633,0,-80.55801603,28.61265013,22777.35251,79.57552871,11.62263827
78,6.347968,0,236.7543237,0,73.25920349,,850.129055,3481.942594,1487.35139,0,-80.56432638,28.6233714,22812.20316,79.2590601,11.62264304
79,1.88875493,0,174.4831572,0,73.24642512,,848.8140977,5536.393437,-357.116219,0,-80.54328683,28.60677658,22821.94339,84.42806547,11.62263554
80,4.310183239,0,171.119537,0,69.90957172,,848.4062059,4830.906185,657.7461926,0,-80.55050933,28.61590627,22809.65385,78.4122296,11.62263949
81,1.619129706,0,207.2568413,0,68.05444028,,847.4994119,5386.975743,1580.339406,0,-80.54480827,28.62420116,22808.13293,79.24465342,11.62264351
82,3.367701333,0,181.5832617,0,69.69802067,,847.9988029,1985.650961,190.24823,0,-80.57965863,28.61170943,22831.96199,79.59311885,11.62263766
83,4.332288818,0,245.216531,0,73.31254094,,848.4584061,4332.418702,1955.811756,0,-80.5556112,28.62758181,22840.49188,79.35925088,11.62264491
84,2.031515165,0,206.4516322,0,70.12243143,,849.2136175,4782.933631,1341.05336,0,-80.55099793,28.62205157,22823.22368,81.59445131,11.62264212
85,7.689088,0,189.6995011,0,72.62763868,,848.3400951,4860.687609,457.1854915,0,-80.55020509,28.61410247,22832.82082,78.76901909,11.62263874
86,2.453997243,0,215.6109566,0,68.1726541,,848.8755704,5693.555556,1068.257434,0,-80.54166979,28.61959459,22824.40444,79.15203206,11.62264102
87,0.002829350982,0,223.2919645,0,73.38181214,,849.8707791,3555.91398,1548.154796,0,-80.56356833,28.62391802,22695.29855,79.08647704,11.62264327
88,6.772656,0,246.6350953,0,69.79672737,,849.5377948,3786.529981,1044.368949,0,-80.56120726,28.61938671,22819.41573,79.21223607,11.62264098
89,4.301346924,0,218.7820001,0,73.46396933,,848.2597674,4755.920756,1228.917409,0,-80.55127515,28.62104321,22773.73971,77.26565748,11.62264205
90,2.186243084,0,72.19855144,0,69.64672928,,849.9448705,4650.09841,1155.74798,0,-80.5523596,28.62038557,22786.03426,80.23846949,11.6226418
91,0.6087122071,0,230.9461919,0,67.81164738,,847.4847062,6924.986882,-2857.347737,0,-80.52907767,28.5842848,22848.65462,79.9960019,11.62262532
92,4.16183064,0,202.7885869,0,67.18265913,,852.0798361,6928.042507,3193.532092,0,-80.52900961,28.63870164,22751.8641,80.02996221,11.62265003
93,8.60552,0,235.0630119,0,70.1986721,,848.3462256,7211.036495,1284.544325,0,-80.52612191,28.62153216,22831.69251,79.39768159,11.6226422
94,0.01830450007,0,197.8406679,0,73.84013314,,848.34624,4928.717328,50.55502084,0,-80.54950992,28.6104453,22826.24812,79.71393799,11.6226369
95,7.420864,0,99.69713104,0,68.68326008,,849.7362235,3987.80355,706.4204911,0,-80.55914641,28.61634687,22764.15738,79.3359016,11.62263976
96,0.402336,0,186.3357883,0,67.61661038,,853.1488314,3059.901664,1821.865638,0,-80.56864943,28.62638083,22696.91588,79.32199012,11.62264442
97,1.378992796,0,250.4861011,0,69.5285129,,851.3148923,5137.447411,881.7666117,0,-80.54736793,28.61791976,22641.81314,80.3970042,11.62264047
98,4.671568,0,142.7350568,0,67.43043588,,849.8464005,6601.190466,54.3073448,0,-80.53237699,28.61047162,22792.29008,79.81454728,11.62263728
99,0.008974015159,0,247.0605183,0,70.27881422,,849.3183081,3543.233211,2037.67833,0,-80.56369673,28.62832045,22770.79913,79.07857068,11.62264538
100,9.968992,0,209.5268072,0,71.30194402,,848.9386851,4095.190927,2135.088394,0,-80.55804113,28.62919485,22772.78435,78.99977001,11.62264554
101,5.626917949,0,98.22269466,0,69.71766258,,847.4907188,7708.607665,950.2603346,0,-80.52102648,28.61852302,22825.90146,79.03665094,11.62264043
102,5.13068173,0,182.1332714,0,69.40653587,,849.3582603,4547.532282,162.8387455,0,-80.55341436,28.61145648,22753.67278,82.5921925,11.62263773
103,1.087585946,0,224.8216753,0,67.23188791,,849.7415721,5573.763602,657.2778592,0,-80.54289906,28.61589908,22826.96981,81.77113072,11.62263959
104,5.143628583,0,238.8496876,0,69.48202457,,847.3517416,6560.92856,631.7503,0,-80.53278611,28.61566489,22855.41424,79.03717351,11.62263924
105,1.022549464,0,216.1867421,0,73.39153233,,848.3207463,6340.77848,1236.147144,0,-80.53503809,28.62110146,22827.68293,78.55493531,11.62264183
106,1.619129706,0,92.03498574,0,68.8282195,,850.2355783,7186.680515,282.3543208,0,-80.52637776,28.61251939,22790.5533,79.23597291,11.62263813
107,2.244752012,0,212.9228268,0,68.44210525,,849.3049708,7214.424122,1962.798173,0,-80.52608291,28.62763182,22803.79425,78.86610414,11.6226445
108,0.01769561786,0,134.8370514,0,71.12293248,,849.3171253,6854.150937,-942.9444859,0,-80.52979164,28.60150181,22772.23249,79.89990124,11.62263319
109,9.209024,0,211.1330183,0,68.65521814,,847.817018,7469.546919,751.7311799,0,-80.52347692,28.616739,22829.87118,79.20877078,11.62264001
110,5.185664,0,224.1516815,0,72.66818043,,850.6389614,3219.511211,2858.36264,0,-80.5670112,28.63570188,22783.39895,78.69512533,11.62264837
111,3.52737359,0,186.905054,0,68.74420355,,847.8447768,6703.283543,523.585105,0,-80.53132838,28.61469141,22849.38449,79.28256344,11.62263914
112,5.285453165,0,232.4691053,0,70.1618052,,851.9997162,4604.160379,392.8295962,0,-80.55283332,28.61352464,22695.03243,81.73707837,11.62263848
113,2.145792,0,202.2685563,0,69.61324487,,849.5264506,7138.129725,-919.6327742,0,-80.52688265,28.60170993,22822.99541,79.98020705,11.6226333
114,0.9996045758,0,250.6425533,0,69.11714409,,849.0177655,5858.918403,2062.739676,0,-80.53997055,28.62853744,22781.47642,79.34438036,11.62264534
115,0.22352,0,191.350144,0,73.75246032,,848.426015,6003.283109,-878.8199017,0,-80.5385069,28.60208271,22849.11505,80.9957745,11.62263348
116,1.874472141,0,242.0884336,0,73.09647482,,849.5590587,3490.128692,582.2297656,0,-80.56424528,28.61523143,22755.01781,80.61427989,11.62263943
117,0.6231723813,0,261.6310687,0,71.43858919,,850.8098726,5479.158955,1057.527254,0,-80.54386633,28.61949901,22727.81604,80.51516519,11.62264123
118,1.746431989,0,43.40541699,0,72.71809512,,849.4275891,5909.378121,76.213541,0,-80.53946384,28.61067196,22814.12382,80.00821968,11.62263717
119,8.896096,0,112.5526868,0,72.26332846,,850.1363287,3250.39962,1498.788476,0,-80.56669858,28.62347486,22680.58266,80.64905623,11.6226431
120,3.68808,0,216.0905746,0,68.19304002,,849.9624516,4598.472112,2279.164033,0,-80.55288398,28.63048887,22738.412,81.33356516,11.62264583
121,6.347968,0,98.7523276,0,69.24150127,,848.4340202,4552.056923,1715.765561,0,-80.5533618,28.62542227,22838.48493,79.64707787,11.62264401
122,1.917972695,0,264.4894337,0,67.96220507,,851.153649,2105.17855,-308.4604822,0,-80.57843509,28.60722424,22735.51206,78.65359897,11.62263547
123,10.326624,0,281.9102217,0,71.09228318,,848.0382545,6045.232759,898.5886867,0,-80.53806778,28.61806713,22846.61133,79.12333402,11.62264053
124,4.902538667,0,229.2485853,0,68.87024421,,848.6658949,1637.991649,77.33325797,0,-80.58322028,28.61069444,22805.29274,79.6604594,11.62263691
125,5.595505495,0,233.9021624,0,71.12243125,,850.0694343,3096.773958,3339.306851,0,-80.56826752,28.64002741,22788.29606,79.0486331,11.62265044
126,0.0100938706,0,58.68617055,0,70.52691382,,849.1948159,5014.260317,92.41554366,0,-80.54863343,28.61082143,22726.11856,79.12016705,11.62263721
127,0.01547242831,0,221.1971788,0,67.24530198,,853.0134249,4572.613822,1204.642758,0,-80.55315324,28.62082556,22672.36421,79.38600592,11.62264161
128,5.945632,0,279.836259,0,68.88300119,,848.0695373,5506.374304,506.825234,0,-80.54359017,28.61454632,22827.26475,78.89253422,11.62263872
129,5.050580434,0,265.994199,0,73.95840933,,848.2649246,5002.103897,1293.093801,0,-80.54875269,28.62161944,22830.88334,79.11888983,11.62264191
130,2.61372665,0,176.7131148,0,70.16571278,,847.9752428,5871.034057,-1168.687703,0,-80.53986305,28.59947647,22855.1076,78.94132044,11.62263225
131,5.117060961,0,238.4067716,0,69.88106517,,849.2420106,5453.336486,-1159.625461,0,-80.54414148,28.59955979,22773.67077,78.62252426,11.62263205
132,1.411789614,0,205.1959461,0,67.77214411,,847.4550162,4190.083,877.2784175,0,-80.5570735,28.61788279,22845.49156,80.0797944,11.62264048
133,2.410394521,0,235.9279732,0,69.66851435,,849.024833,5058.420002,-1480.615537,0,-80.54818803,28.59667466,22811.99401,79.36613896,11.62263096
134,2.61372665,0,191.3978446,0,70.36953619,,849.0568725,5399.307953,287.9858235,0,-80.54468804,28.6125787,22841.70552,79.20927942,11.62263795
135,5.040885311,0,260.9449065,0,68.60687294,,848.2606797,5528.35066,3301.126732,0,-80.54335147,28.63967597,22823.7889,79.5041295,11.62265025
136,1.885108741,0,213.1684875,0,71.67344154,,848.7739016,2387.823954,1327.53584,0,-80.57553631,28.62193662,22754.87295,79.13879439,11.62264245
137,9.179568755,0,171.7026851,0,71.9316065,,849.1303736,4587.902727,2379.329502,0,-80.55299187,28.63138972,22783.98755,79.48185795,11.62264661
138,7.972213333,0,230.8388376,0,68.31126668,,850.8532245,5679.146264,-202.1171637,0,-80.54182374,28.6081699,22831.09824,79.33087162,11.62263626
139,0.6911361048,0,255.8297738,0,71.26944615,,849.4391119,5441.140932,485.5477194,0,-80.54425855,28.61435524,22834.28018,79.12815338,11.62263895
140,1.619129706,0,220.0901207,0,70.98615892,,850.4873378,8445.278228,89.10660883,0,-80.51348579,28.6107739,22777.32141,79.33555207,11.62263736
141,0.22352,0,253.9142363,0,73.58828715,,847.4922274,6667.136126,-1226.497866,0,-80.53170893,28.59895273,22831.21226,78.99521195,11.62263169
142,0.22352,0,232.7925808,0,73.25770667,,850.1189741,6628.844247,439.3649141,0,-80.53209146,28.61393439,22813.00291,79.13182591,11.62263832
143,4.375293204,0,235.2954756,0,72.55118416,,850.3802635,5217.032363,-254.2702974,0,-80.5465578,28.60770281,22734.59162,80.27615563,11.62263587
144,2.22479444,0,232.2836273,0,71.58991396,,849.9932792,4313.851538,3565.898755,0,-80.55579534,28.64206173,22818.34863,78.80044976,11.62265106
145,2.23456249,0,63.23209886,0,71.24909086,,851.0893944,5107.466685,48.27677383,0,-80.54767881,28.61042412,22768.85633,79.50009422,11.62263716
146,5.08601157,0,86.0284192,0,71.5874806,,848.6561157,5771.000486,940.3780959,0,-80.54087702,28.6184442,22807.52131,79.07620614,11.62264081
147,0.01057059613,0,179.6546022,0,72.3631241,,851.097068,5101.754694,878.8307606,0,-80.54773361,28.61789349,22786.25245,79.847384,11.62264063
148,1.270110726,0,189.7227979,0,72.26830515,,848.7048838,6435.508455,-86.21769623,0,-80.53407504,28.60920868,22828.89898,79.566211,11.62263663
149,5.832664992,0,239.6129533,0,69.95220024,,850.2127769,5400.491753,2304.345278,0,-80.54466636,28.63071224,22782.08779,85.67915392,11.62264603
150,1.894390525,0,196.7905782,0,72.78867186,,848.1730278,3542.398682,1109.18579,0,-80.56370816,28.61997032,22776.67475,79.35605618,11.6226414
151,2.441247054,0,197.6446378,0,67.23775632,,849.8971077,5703.161469,-680.1077864,0,-80.54158013,28.60387112,22787.66931,78.03655432,11.6226342
152,0.02083700918,0,208.7747845,0,67.74876817,,848.1119772,6084.208946,1851.879756,0,-80.53766338,28.6266401,22835.52271,79.28916455,11.62264433
153,4.318980498,0,190.1678351,0,70.06651534,,848.8433604,5155.759727,695.6440356,0,-80.54718117,28.61624584,22784.2342,78.81595079,11.62263962
154,0.6639168268,0,78.67608227,0,68.3266101,,848.7282655,7116.553028,1921.628488,0,-80.52708592,28.62726212,22831.44014,79.24287125,11.6226449
155,4.485301333,0,71.5083448,0,72.66801486,,849.8229327,5929.762769,2292.345511,0,-80.53924349,28.63060202,22784.20013,80.1735996,11.62264636
156,2.23927075,0,220.9606025,0,70.30033869,,849.4359314,6912.019522,-161.444839,0,-80.52919415,28.6085297,22823.04878,79.67617176,11.62263635
157,7.420864,0,243.2519897,0,70.01969822,,852.0834728,5431.306756,428.4431621,0,-80.54435957,28.61384172,22738.47588,79.0717335,11.62263867
158,6.075557814,0,193.6768821,0,73.0700695,,849.2735021,4918.539635,3064.431823,0,-80.54960118,28.63754978,22789.02988,78.86146551,11.62264898
159,8.896096,0,304.4365081,0,69.61317758,,847.8987873,5769.046196,-2067.296761,0,-80.54091226,28.59139555,22825.01874,79.04802294,11.6226283
160,5.832664992,0,232.8740842,0,70.14448244,,849.4584512,4668.327682,894.4194559,0,-80.55217391,28.61803532,22820.19405,79.18517529,11.62264023
161,6.839712,0,180.1660878,0,70.84585173,,848.3489848,5395.738277,1195.048935,0,-80.54472032,28.62073612,22812.95897,79.10989984,11.62264195
162,1.69627501,0,91.19491029,0,67.0432429,,847.8978619,4567.365179,1116.036969,0,-80.55320737,28.62002873,22786.86439,78.97497274,11.6226415
163,4.284519934,0,204.3363474,0,67.19807256,,850.1022642,2264.606437,3820.834793,0,-80.57679374,28.64435962,22764.52881,85.38326253,11.62265249
164,8.896096,0,238.2561278,0,69.02887423,,849.5264021,3512.040952,805.7855208,0,-80.56402011,28.61724185,22821.84811,78.70001535,11.62264019
165,1.696975859,0,208.3038518,0,67.99378159,,849.3318429,4216.231822,1880.312288,0,-80.5568019,28.62690321,22833.74934,79.68855243,11.62264423
